"ranking","municipio","IDHM_2010","IDHM_renda","IDHM_longevidade","IDHM_educação","estado"
"1 º","São Caetano do Sul",0.862,0.891,0.887,0.811,"SP"
"2 º","Águas de São Pedro",0.854,0.849,0.89,0.825,"SP"
"3 º","Florianópolis",0.847,0.87,0.873,0.8,"SC"
"4 º","Balneário Camboriú",0.845,0.854,0.894,0.789,"SC"
"4 º","Vitória",0.845,0.876,0.855,0.805,"ES"
"6 º","Santos",0.84,0.861,0.852,0.807,"SP"
"7 º","Niterói",0.837,0.887,0.854,0.773,"RJ"
"8 º","Joaçaba",0.827,0.823,0.891,0.771,"SC"
"9 º","Brasília",0.824,0.863,0.873,0.742,"DF"
"10 º","Curitiba",0.823,0.85,0.855,0.768,"PR"
"11 º","Jundiaí",0.822,0.834,0.866,0.768,"SP"
"12 º","Valinhos",0.819,0.848,0.85,0.763,"SP"
"13 º","Vinhedo",0.817,0.84,0.878,0.739,"SP"
"14 º","Santo André",0.815,0.819,0.861,0.769,"SP"
"14 º","Araraquara",0.815,0.788,0.877,0.782,"SP"
"16 º","Santana de Parnaíba",0.814,0.876,0.849,0.725,"SP"
"17 º","Nova Lima",0.813,0.864,0.885,0.704,"MG"
"18 º","Ilha Solteira",0.812,0.786,0.871,0.782,"SP"
"19 º","Americana",0.811,0.8,0.876,0.76,"SP"
"20 º","Belo Horizonte",0.81,0.841,0.856,0.737,"MG"
"21 º","São José",0.809,0.799,0.88,0.752,"SC"
"21 º","Joinville",0.809,0.795,0.889,0.749,"SC"
"23 º","Maringá",0.808,0.806,0.852,0.768,"PR"
"24 º","São José dos Campos",0.807,0.804,0.855,0.764,"SP"
"25 º","Blumenau",0.806,0.812,0.894,0.722,"SC"
"25 º","Presidente Prudente",0.806,0.788,0.858,0.774,"SP"
"25 º","Rio Fortuna",0.806,0.848,0.85,0.727,"SC"
"28 º","São Paulo",0.805,0.843,0.855,0.725,"SP"
"28 º","Assis",0.805,0.771,0.865,0.781,"SP"
"28 º","Campinas",0.805,0.829,0.86,0.731,"SP"
"28 º","São Bernardo do Campo",0.805,0.807,0.861,0.752,"SP"
"28 º","Porto Alegre",0.805,0.867,0.857,0.702,"RS"
"28 º","São Carlos",0.805,0.788,0.863,0.766,"SP"
"34 º","Rio Claro",0.803,0.784,0.862,0.766,"SP"
